key,es,en,fr
LANGUAGE_NAME,Español,English,Français
MENU_RESUME,Continuar,Resume,Continuer
MENU_OPTIONS,Opciones,Options,Options
MENU_QUIT_TO_DESKTOP,Salir al escritorio,Quit to desktop,Aller au bureau
MENU_LANGUAGE,Idioma,Language,Langage 
SENSIVILITY,Sensibilidad,Sensivility,Sensibilitié
MUSIC,Música,Music,Musique
VOICES,Voces,Voices,Voix
RESOLUTION,Resolución,Resolution,Résolution 
WINDOWS_MODE,Modo de ventana,Windows mode,Mode fenêtre 
OCLUSSION_CULLING,Oclusión ambiental,Oclussion culling,Occlusion ambiante 
SOFT_SHADOWS,Sombras suaves,Soft shadows,ombres douces 
SHADOW_RESOLUTION,Resolución de sombras,Shadow resolution,Résolution des ombres 
IMAGE_SCALE,Escala de imagen,Image scale,Échelle de l'image 
BRIGHTNESS,Brillo,Brightness,Luminosité 
WINDOW,Ventana,Windows,Fenêtres 
FULLSCREEN,Pantalla completa,Fullscreen,Plein écran
WITHOUT BORDERS,Sin bordes,Without borders,Sans bordure
LOW,Bajo,Low,Bas
MIDDLE,Medio,Middle,Moyen
HIGHT,Alto,Hight,Haut
ULTRA,Ultra,Ultra,Ultra
OPTIONS,Opciones,Options,Paramètres
CONTROLS,Controles,Controls,Contrôles 
SOUND,Sonido,Sound,Audio
VIDEO,Video,Video,Vidéo
SUBTITLES,Subtítulos,Subtitles,Sous-titres
